Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-14,29-197,GSW,,SAS,W (+21),1,31:36,9,17,.529,1,4,.250,5,5,1.000,1,8,9,7,2,0,4,2,24,20.9,+21
2,2,2018-04-16,29-199,GSW,,SAS,W (+15),1,38:53,10,19,.526,3,9,.333,9,10,.900,0,6,6,6,0,1,2,4,32,25.4,+12
3,3,2018-04-19,29-202,GSW,@,SAS,W (+13),1,34:00,9,17,.529,1,6,.167,7,7,1.000,0,9,9,6,0,0,4,3,26,19.4,+18
4,4,2018-04-22,29-205,GSW,@,SAS,L (-13),1,40:49,12,28,.429,4,13,.308,6,7,.857,1,12,13,2,0,1,3,0,34,22.2,-6
5,5,2018-04-24,29-207,GSW,,SAS,W (+8),1,40:30,8,19,.421,1,8,.125,8,8,1.000,0,6,6,5,1,2,5,1,25,17.2,+8
6,6,2018-04-28,29-211,GSW,,NOP,W (+22),1,32:22,10,21,.476,3,6,.500,3,4,.750,2,11,13,2,0,2,4,2,26,17.6,+24
7,7,2018-05-01,29-214,GSW,,NOP,W (+5),1,41:18,11,23,.478,2,7,.286,5,6,.833,0,6,6,7,2,3,2,1,29,25.3,-5
8,8,2018-05-04,29-217,GSW,@,NOP,L (-19),1,35:15,8,18,.444,1,6,.167,5,6,.833,0,3,3,3,2,0,1,1,22,15.8,-24
9,9,2018-05-06,29-219,GSW,@,NOP,W (+26),1,36:19,15,27,.556,2,5,.400,6,6,1.000,1,8,9,5,1,1,2,1,38,31.0,+23
10,10,2018-05-08,29-221,GSW,,NOP,W (+9),1,37:14,10,18,.556,1,4,.250,3,5,.600,0,6,6,7,2,0,1,2,24,21.5,+13
11,11,2018-05-14,29-227,GSW,@,HOU,W (+13),1,40:16,14,27,.519,3,6,.500,6,6,1.000,0,3,3,1,0,1,1,2,37,24.2,+11
12,12,2018-05-16,29-229,GSW,@,HOU,L (-22),1,35:25,13,22,.591,3,7,.429,9,9,1.000,1,2,3,0,0,0,5,5,38,22.1,-28
13,13,2018-05-20,29-233,GSW,,HOU,W (+41),1,35:13,9,19,.474,3,8,.375,4,4,1.000,2,4,6,6,1,0,0,0,25,23.1,+27
14,14,2018-05-22,29-235,GSW,,HOU,L (-3),1,43:03,9,24,.375,1,5,.200,8,8,1.000,1,11,12,3,0,0,2,1,27,17.5,+2
15,15,2018-05-24,29-237,GSW,@,HOU,L (-4),1,40:12,8,22,.364,3,6,.500,10,10,1.000,0,4,4,0,0,1,2,3,29,15.5,+2
16,16,2018-05-26,29-239,GSW,,HOU,W (+29),1,35:18,6,17,.353,1,5,.200,10,14,.714,2,5,7,4,0,1,1,0,23,17.3,+13
17,17,2018-05-28,29-241,GSW,@,HOU,W (+9),1,44:20,11,21,.524,5,11,.455,7,10,.700,0,5,5,5,1,3,2,3,34,27.4,+10
18,18,2018-05-31,29-244,GSW,,CLE,W (+10),1,46:17,8,22,.364,1,7,.143,9,10,.900,0,9,9,6,1,3,1,3,26,21.2,+17
19,19,2018-06-03,29-247,GSW,,CLE,W (+19),1,38:10,10,14,.714,2,3,.667,4,4,1.000,0,9,9,7,0,2,3,3,26,25.0,+24
20,20,2018-06-06,29-250,GSW,@,CLE,W (+8),1,43:15,15,23,.652,6,9,.667,7,7,1.000,1,12,13,7,1,1,3,3,43,39.6,+15
21,21,2018-06-08,29-252,GSW,@,CLE,W (+23),1,37:38,7,17,.412,0,3,.000,6,6,1.000,1,11,12,10,1,3,2,3,20,21.8,+30
